2023-06-20 00:00:01 start                                   
2023-06-20 00:00:01 TLD:                                    https://www.tuwien.at
2023-06-20 00:00:01 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2023-06-20 00:00:01 temp download folder:                   /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/temp_downloads/
2023-06-20 00:00:01 curricula folder:                       /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/curricula/
2023-06-20 00:00:01 searchstr: 0                            BSc
2023-06-20 00:00:01 searchstr: 1                            MSc
2023-06-20 00:00:01 searchstr: 2                            Doktor
2023-06-20 00:00:01 searchstr: 3                            Erweiterungsstudium
2023-06-20 00:00:01 searchstr: 4                            Gemeinsame_Studienprogramme
2023-06-20 00:00:01 searchstr: 5                            Alte_Studienplaene
2023-06-20 00:00:01 fetching page source                    
2023-06-20 00:00:05 page crawling donw                      
2023-06-20 00:00:05 parsing page source                     
2023-06-20 00:00:05 cleanup extract_desc(&nbsp;):           Bauingenieurwesen&nbsp;
2023-06-20 00:00:05 cleanup extract_desc(&nbsp;):           Technische Chemie&nbsp;
2023-06-20 00:00:05 cleanup extract_desc(&nbsp;):           Finanz- und Versicherungsmathematik&nbsp;
2023-06-20 00:00:05 cleanup extract_desc(&nbsp;):           Verfahrenstechnik&nbsp;und nachhaltige Produktion
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Architektur_2022.pdf|Architektur
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Bauingenieurwesen_2022.pdf|Bauingenieurwesen
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Geodaesie_und_Geoinformation_2022.pdf|Geodäsie und Geoinformation
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Elektrotechnik_und_Informationstechnik_2022.pdf|Elektrotechnik und Informationstechnik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Medieninformatik_und_Visual_Computing_2022.pdf|Medieninformatik und Visual Computing
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Medizinische_Informatik_2022.pdf|Medizinische Informatik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Software_and_Information_Engineering_2022.pdf|Software &amp; Information Engineering
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Technische_Informatik_2022.pdf|Technische Informatik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Wirtschaftsinformatik_2022.pdf|Wirtschaftsinformatik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Informatik__2_.pdf|Informatik 
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Maschinenbau_2022.pdf|Maschinenbau
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Wirtschaftsingenieurwesen_Maschinenbau_2022.pdf|Wirtschaftsingenieurwesen - Maschinenbau
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Raumplanung_und_Raumordnung_2022.pdf|Raumplanung und Raumordnung
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Technische_Chemie_2022.pdf|Technische Chemie
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Technische_Mathematik_2022.pdf|Technische Mathematik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Statistik_und_Wirtschaftsmathematik_2022.pdf|Statistik und Wirtschaftsmathematik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Finanz-_und_Versicherungsmathematik_2022.pdf|Finanz- und Versicherungsmathematik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Technische_Physik_2022.pdf|Technische Physik
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Umweltingenieurwesen_2022.pdf|Umweltingenieurwesen
2023-06-20 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Verfahrenstechnik_2022.pdf|Verfahrenstechnik
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Architektur_2022.pdf|Architektur
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Building_Sciences_and_Environment.pdf|Building Science &amp; Enviroment
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Bauingenieurwissenschaften_2022.pdf|Bauingenieurwissenschaften
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Biomedical_Engineering_2022.pdf|Biomedical Engineering
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Computational_Science_and_Engineering_2022.pdf|Computational Science and Engineering
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Elektrische_Energietechnik_und_nachhaltige_Energiesysteme_2022.pdf|Elektrische Energietechnik und nachhaltige Energiesysteme
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Embedded_Systems_2022.pdf|Embedded Systems
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Telecommunications_2022.pdf|Telecommunications 
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Mikroelektronik_und_Photonik_2022.pdf|Mikroelektronik und Photonik
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Automatisierung_und_Robotische_Systeme_2022.pdf|Automatisierung und robotische Systeme
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Geodaesie_Und_Geoinformation_2022.pdf|Geodäsie und Geoinformation
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Logic_and_Computation_2022.pdf|Logic and Computation
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Visual_Computing_2022.pdf|Visual Computing
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Media_and_Human-Centered_Computing_2022.pdf|Media and Human-Centered Computing
